STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2001,,196657,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2025,,1234800,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2024,,1256637,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2023,,1272483,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2022,,1295478,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2021,,1324594,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2020,,1350255,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2019,,1356977,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,2011,,1078017,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,2010,,1060868,,CHL,Chile,A,Normal value,0,Units,0,Zero
