STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EDITION,Edition,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,SVN,Slovenia,EMPW_PJ,Gender equality in professional judges,PT_W,Percentage of women,_Z,Not applicable,2023,2023,EMPPS_REP,Public employment and representation,2014,,78,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,SVN,Slovenia,EMPW_PJ,Gender equality in professional judges,PT_W,Percentage of women,_Z,Not applicable,2023,2023,EMPPS_REP,Public employment and representation,2020,,80,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,SVN,Slovenia,EMPW_PARL,Gender equality in parliament,PT_W,Percentage of women,_Z,Not applicable,2023,2023,EMPPS_REP,Public employment and representation,2002,,12.2,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,SVN,Slovenia,EMPW_PARL,Gender equality in parliament,PT_W,Percentage of women,_Z,Not applicable,2023,2023,EMPPS_REP,Public employment and representation,2012,,32.2,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,SVN,Slovenia,EMPW_PARL,Gender equality in parliament,PT_W,Percentage of women,_Z,Not applicable,2023,2023,EMPPS_REP,Public employment and representation,2015,,36.7,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,SVN,Slovenia,EMPW_PARL,Gender equality in parliament,PT_W,Percentage of women,_Z,Not applicable,2023,2023,EMPPS_REP,Public employment and representation,2017,,36.7,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,SVN,Slovenia,EMPW_PARL,Gender equality in parliament,PT_W,Percentage of women,_Z,Not applicable,2023,2023,EMPPS_REP,Public employment and representation,2019,,24.4,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,SVN,Slovenia,EMPW_PARL,Gender equality in parliament,PT_W,Percentage of women,_Z,Not applicable,2023,2023,EMPPS_REP,Public employment and representation,2021,,26.7,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,SVN,Slovenia,EMPW_PARL,Gender equality in parliament,PT_W,Percentage of women,_Z,Not applicable,2023,2023,EMPPS_REP,Public employment and representation,2023,,37.8,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,SVN,Slovenia,EMPW_SMP,Gender equality in senior management positions in national administrations,PT_W,Percentage of women,S1311,Central government,2023,2023,EMPPS_REP,Public employment and representation,2007,,48.3,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,LTU,Lithuania,EMPW_PARL,Gender equality in parliament,PT_W,Percentage of women,_Z,Not applicable,2023,2023,EMPPS_REP,Public employment and representation,2023,,28.4,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,LTU,Lithuania,EMPW_SMP,Gender equality in senior management positions in national administrations,PT_W,Percentage of women,S1311,Central government,2023,2023,EMPPS_REP,Public employment and representation,2007,,25,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,LTU,Lithuania,EMPW_SMP,Gender equality in senior management positions in national administrations,PT_W,Percentage of women,S1311,Central government,2023,2023,EMPPS_REP,Public employment and representation,2008,,24.2,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,LTU,Lithuania,EMPW_SMP,Gender equality in senior management positions in national administrations,PT_W,Percentage of women,S1311,Central government,2023,2023,EMPPS_REP,Public employment and representation,2009,,36,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,LTU,Lithuania,EMPW_SMP,Gender equality in senior management positions in national administrations,PT_W,Percentage of women,S1311,Central government,2023,2023,EMPPS_REP,Public employment and representation,2010,,48.3,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,LTU,Lithuania,EMPW_SMP,Gender equality in senior management positions in national administrations,PT_W,Percentage of women,S1311,Central government,2023,2023,EMPPS_REP,Public employment and representation,2011,,45.4,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,LTU,Lithuania,EMPW_SMP,Gender equality in senior management positions in national administrations,PT_W,Percentage of women,S1311,Central government,2023,2023,EMPPS_REP,Public employment and representation,2012,,43.9,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_EMPPS_REP_2023(1.0),"Public employment and representation - Government at a glance indicators, 2023 edition",I,A,Annual,LTU,Lithuania,EMPW_SMP,Gender equality in senior management positions in national administrations,PT_W,Percentage of women,S1311,Central government,2023,2023,EMPPS_REP,Public employment and representation,2013,,45.6,,A,Normal value,0,Units,_Z,Not applicable,,
