country,year,Gender gap in managerial positions,Gender gap in political representation,Gender gap in top management positions,Lack of confidence in the judicial system and courts - Female - Percentage of population,Legal discrimination on access to justice,Legal discrimination on financial assets,Legal discrimination on freedom of movement,Legal discrimination on inheritance,Legal discrimination on violence against women,Legal discrimination on workplace rights,Perception that a woman earning more money than her husband causes problems,Perception that being a housewife is as fulfilling as working for pay,Perception that men make better political leaders than women,Perception that men should have more right to a job than women,"Perception that when a mother works for pay, the children suffer",Perceptions that men make better business executives than women,unpaid_care_gap
Cyprus,2023,24.2,14.3,8.2,56.1,0.0,0.0,0.0,0.0,25.0,0.0,35.7,59.1,28.7,40.6,50.1,27.3,
Czechia,2023,27.8,25.5,16.1,44.1,0.0,0.0,0.0,0.0,50.0,25.0,49.8,41.3,49.7,26.6,32.2,43.9,
Côte d’Ivoire,2023,56.9,14.2,14.3,40.6,0.0,0.0,0.0,25.0,25.0,25.0,,,,,49.3,,-3.9000000000000004
Democratic Republic of the Congo,2023,20.2,12.8,10.8,52.1,25.0,25.0,75.0,25.0,75.0,100.0,,,,,,,
Denmark,2023,27.9,43.6,8.3,13.3,0.0,0.0,0.0,0.0,25.0,0.0,,,8.7,2.2,8.9,11.8,-1.0999999999999996
Djibouti,2023,12.3,26.2,14.2,39.0,0.0,0.0,0.0,100.0,75.0,100.0,,,,,,,
Dominica,2023,48.4,34.4,23.6,,0.0,0.0,0.0,0.0,75.0,100.0,,,,,,,
Dominican Republic,2023,38.2,27.9,21.2,54.5,0.0,0.0,0.0,0.0,25.0,75.0,55.8,48.5,41.0,15.1,,,-3.1
Ecuador,2023,37.3,38.7,22.9,67.4,0.0,0.0,0.0,0.0,25.0,0.0,41.2,58.2,22.8,30.7,55.7,20.0,-3.6
Egypt,2023,6.8,27.6,6.3,24.7,25.0,25.0,75.0,100.0,75.0,100.0,57.3,82.3,83.0,89.6,77.3,75.0,-4.800000000000001
El Salvador,2023,46.7,27.4,28.0,46.9,0.0,0.0,0.0,25.0,0.0,75.0,60.6,70.0,37.0,27.2,,,-3.2
Equatorial Guinea,2023,,31.0,,,0.0,0.0,0.0,25.0,100.0,25.0,,,,,,,
Eritrea,2023,,22.0,7.6,,75.0,25.0,25.0,25.0,75.0,75.0,,,,,,,
Estonia,2023,37.4,25.7,22.5,23.0,0.0,0.0,0.0,0.0,50.0,0.0,25.3,85.6,37.2,9.8,22.2,26.7,-1.4999999999999996
Eswatini,2023,43.4,13.5,27.4,19.9,75.0,50.0,0.0,50.0,50.0,100.0,,,,,,,
Ethiopia,2023,26.5,41.5,4.5,43.5,0.0,25.0,0.0,25.0,50.0,100.0,46.2,51.7,40.7,48.4,61.3,34.8,-2.9999999999999996
Europe,2023,34.0,33.1,17.8,45.2,0.0,0.7,0.0,2.6,39.5,19.7,23.2,57.9,19.6,16.8,35.9,17.3,-1.7999999999999998
European Union,2023,33.0,32.6,17.8,44.9,0.0,0.0,0.0,1.9,38.9,14.8,21.3,53.9,18.2,17.0,35.4,15.5,-1.8999999999999995
Fiji,2023,38.9,19.6,,,0.0,25.0,0.0,25.0,50.0,100.0,,,,,,,-2.4000000000000004
Finland,2023,37.5,45.5,12.9,18.1,0.0,0.0,0.0,0.0,75.0,0.0,35.4,84.6,11.8,4.0,14.1,11.8,-1.1
France,2023,35.5,37.3,19.9,39.8,0.0,0.0,0.0,0.0,0.0,0.0,,52.8,12.2,11.5,31.0,9.6,-1.5
G20,2023,22.8,27.8,13.9,26.6,4.2,2.8,8.3,20.8,38.9,50.0,30.5,67.0,45.4,42.0,55.5,38.6,-2.9000000000000004
G7,2023,32.9,30.5,16.2,41.3,0.0,0.0,0.0,0.0,46.4,25.0,11.9,68.0,17.0,11.3,24.5,13.8,-1.7000000000000002
Gabon,2023,,15.4,11.5,52.6,0.0,0.0,0.0,25.0,25.0,0.0,,,,,,,
Gambia,2023,17.4,8.6,9.6,27.6,75.0,0.0,25.0,75.0,50.0,75.0,,,,,,,
Georgia,2023,36.1,19.1,16.5,49.8,25.0,0.0,0.0,25.0,25.0,75.0,26.2,53.4,57.4,49.6,78.5,52.5,
Germany,2023,28.1,34.9,14.2,31.1,0.0,0.0,0.0,0.0,75.0,0.0,15.6,58.4,8.2,9.2,29.1,9.4,-1.4
Ghana,2023,33.8,14.6,14.9,39.5,25.0,0.0,0.0,50.0,75.0,75.0,54.1,38.9,81.3,49.3,33.1,68.8,-2.6
Greece,2023,29.4,21.0,17.2,52.7,0.0,0.0,0.0,25.0,25.0,0.0,27.2,63.5,27.1,37.9,40.4,25.0,-2.5999999999999996
Grenada,2023,,31.3,24.0,,0.0,0.0,0.0,0.0,75.0,75.0,,,,,,,
Guatemala,2023,36.8,19.4,18.5,44.9,0.0,0.0,0.0,0.0,75.0,100.0,38.2,53.8,20.8,22.3,59.1,17.9,-4.1000000000000005
Guinea,2023,23.4,29.6,5.8,53.2,0.0,0.0,0.0,75.0,50.0,100.0,,,,,,,
Guinea-Bissau,2023,,13.7,,,25.0,25.0,0.0,25.0,75.0,75.0,,,,,,,
Guyana,2023,46.8,35.4,17.7,48.5,25.0,25.0,75.0,0.0,75.0,75.0,,,,,,,
Haiti,2023,23.9,2.5,,51.5,25.0,25.0,75.0,25.0,75.0,75.0,61.2,19.3,37.3,38.9,33.2,63.1,
Honduras,2023,40.1,27.3,28.0,62.3,25.0,25.0,0.0,25.0,50.0,100.0,,,,,,,-3.2
Hong Kong (China),2023,36.6,17.0,,51.6,0.0,0.0,0.0,0.0,75.0,75.0,27.1,87.4,28.1,31.5,28.8,29.4,-1.8
Hungary,2023,39.2,14.1,22.1,44.8,0.0,0.0,0.0,0.0,25.0,0.0,55.3,91.9,32.9,22.8,47.7,28.7,-2.1999999999999997
Iceland,2023,38.6,47.6,,44.2,0.0,0.0,0.0,0.0,50.0,0.0,,,5.3,1.4,23.4,3.5,
India,2023,17.6,14.9,6.8,17.0,0.0,25.0,0.0,50.0,50.0,100.0,38.4,64.9,58.7,56.9,81.4,59.3,-4.300000000000001
