country,year,native_gap,immigrant_gap,overall_gap
Germany,2006,11.285041809999996,19.754844660000003,15.519943235
Germany,2007,9.81061554,21.268901820000004,15.539758680000006
Germany,2008,10.56889344000001,21.094112399999993,15.831502920000005
Germany,2009,9.591560369999996,19.509449000000004,14.550504684999993
Germany,2010,9.2976532,21.70848083,15.503067015
Germany,2011,8.257438660000005,19.397907259999997,13.827672960000001
Germany,2012,8.95858002,19.795158389999997,14.376869204999991
Germany,2013,8.185150149999998,19.285804740000003,13.735477445000015
Germany,2014,7.6813583399999885,19.04590607,13.363632205000002
Germany,2015,7.0308609000000075,18.67099762000001,12.850929260000001
Germany,2016,6.7170104999999865,16.694816590000002,11.705913545000001
Germany,2017,6.509857179999997,15.8898468,11.199851990000013
Germany,2018,6.599998470000003,16.900001520000004,11.749999994999996
Germany,2019,6.388717650000004,17.36538696000001,11.877052305000007
Germany,2020,5.838729860000001,16.940025329999997,11.389377595000013
Germany,2021,5.671165460000012,17.36486817000001,11.51801681500001
Germany,2022,5.208625789999999,18.037300110000004,11.622962950000002
Germany,2023,4.740211490000007,17.815956110000002,11.278083800000019
Germany,2024,4.503044119999998,16.37329100999999,10.438167564999986
Greece,2000,26.93984985,29.08182908,28.010839465000004
Greece,2001,27.123081210000002,30.784023289999993,28.95355225
Greece,2002,26.534866339999994,28.118347159999992,27.326606749999996
Greece,2003,25.77875519,32.36161041,29.070182800000005
Greece,2004,24.63627244,28.89794922,26.767110830000007
Greece,2005,24.296054839999996,29.101036070000006,26.698545454999994
Greece,2006,23.834331510000005,28.122444160000008,25.978387835000014
Greece,2007,23.49866867,31.43045807,27.464563369999993
Greece,2008,23.071357730000003,32.99440765,28.03288269
Greece,2009,21.69094085999999,29.90806961,25.799505234999998
Greece,2010,20.487987520000004,28.207073209999997,24.347530364999997
Greece,2011,19.375320430000002,28.021118169999994,23.698219300000005
Greece,2012,17.7016182,27.244636529999994,22.473127365000003
Greece,2013,17.934310910000008,25.116394049999997,21.525352480000002
Greece,2014,16.488113409999997,23.161132809999998,19.824623109999997
Greece,2015,15.401142120000003,22.888229370000005,19.144685745000004
Greece,2016,15.09680557,22.986969000000002,19.04188728500001
Greece,2017,15.652996060000007,23.473396300000005,19.563196180000013
Greece,2018,15.899997710000001,25.799999230000005,20.849998470000003
Greece,2019,15.555191040000004,25.736709589999997,20.645950315000007
Greece,2020,16.20555497,23.289585109999997,19.74757004
Greece,2021,15.019687649999995,22.243602749999994,18.631645199999987
Greece,2022,15.60187149,24.629081729999996,20.11547661
Greece,2023,14.680541990000002,27.846076959999998,21.263309475
Greece,2024,14.778160089999993,26.229423520000005,20.503791805000006
Hungary,2000,15.027103429999997,19.536556240000003,17.281829834999996
Hungary,2001,14.961093899999995,20.60386276,17.78247832999999
Hungary,2002,14.360908510000002,23.298946379999997,18.829927444999996
Hungary,2003,13.842376709999996,20.390941620000007,17.116659165
Hungary,2004,13.315887449999998,21.8563919,17.586139675
Hungary,2005,12.772697449999995,16.48133087,14.627014159999987
Hungary,2006,13.119853980000002,18.00997161,15.564912794999998
Hungary,2007,13.828990939999997,15.97806167000001,14.903526305000014
Hungary,2008,13.217655180000001,15.788745879999993,14.50320053
Hungary,2009,12.845951089999993,15.431503289999995,14.138727189999997
Hungary,2010,11.736148839999998,7.461540220000003,9.598844529999994
Hungary,2011,11.898189539999997,17.2423935,14.57029151999999
Hungary,2012,11.477012630000004,15.07513428,13.276073455000002
Hungary,2013,12.341579440000004,17.67015074999999,15.005865094999997
Hungary,2014,12.56510162,21.2040329,16.884567259999997
Hungary,2015,12.933719639999993,20.072433470000007,16.503076555000007
Hungary,2016,13.409252169999995,16.86705017,15.138151169999986
Hungary,2017,14.077545160000014,10.798873900000004,12.438209530000023
Hungary,2018,14.099998470000003,14.0,14.049999235000001
Hungary,2019,14.951042180000002,7.1929244999999895,11.071983339999989
Hungary,2020,10.713653559999997,10.99498749,10.854320524999991
Hungary,2021,9.935707089999994,9.510673530000005,9.723190310000007
Hungary,2022,9.501647950000006,9.649383549999996,9.575515750000008
Hungary,2023,8.724296570000007,15.431953430000007,12.078125
Hungary,2024,7.720581060000001,9.086959839999992,8.403770449999996
Iceland,2000,5.514793390000008,6.143219000000002,5.829006195000005
Iceland,2001,7.558677680000002,7.316497800000008,7.437587739999998
Iceland,2002,7.115432740000003,4.682243339999999,5.898838040000001
Iceland,2003,7.2629470800000036,6.725929260000001,6.994438170000009
Iceland,2004,9.252304080000002,4.615020749999999,6.933662415000015
Iceland,2005,6.671752929999997,5.102943420000003,5.887348175
Iceland,2006,6.83843232000001,11.303527830000007,9.070980075000023
Iceland,2007,8.331336969999995,8.428878789999999,8.380107879999997
Iceland,2008,8.393096920000005,11.067718510000006,9.730407714999998
Iceland,2009,6.5975494399999945,5.121704100000002,5.859626769999991
Iceland,2010,5.751441959999994,5.613227839999993,5.6823348999999865
Iceland,2011,5.6528854399999915,4.373291010000003,5.013088225000004
Iceland,2012,4.236755370000012,6.138504019999999,5.1876296950000125
Iceland,2013,4.815605160000004,6.6413497899999925,5.728477475000005
Iceland,2014,5.51791381000001,4.134361269999999,4.826137540000005
Iceland,2015,4.418601989999999,9.724639889999992,7.0716209400000025
Iceland,2016,5.963844300000005,5.97531128,5.969577790000002
Iceland,2017,5.844696040000002,2.5514602699999926,4.19807815499999
Iceland,2018,5.099998470000003,9.600006100000002,7.350002284999988
Iceland,2019,4.9000091500000025,8.02516937,6.4625892600000014
Iceland,2020,6.0,1.6999969400000055,3.8499984700000027
Iceland,2021,5.18509675,7.407104490000009,6.296100620000004
Iceland,2022,4.739402769999998,5.767585760000003,5.2534942650000005
Iceland,2023,5.209892280000005,8.304862979999996,6.757377630000008
Iceland,2024,6.87825011999999,6.059570320000006,6.468910219999998
Ireland,2000,23.909202570000005,20.95454788,22.431875225000013
Ireland,2001,23.382419589999998,21.62316894,22.50279426499999
Ireland,2002,21.364055629999996,20.580276489999996,20.972166059999992
Ireland,2003,20.95240021,20.76547241,20.858936310000004
Ireland,2004,20.96969986,22.565078740000004,21.76738929999999
Ireland,2005,19.25223923,22.41890335,20.83557128999999
Ireland,2006,19.313030239999996,22.513263699999996,20.91314697
Ireland,2007,17.709053039999993,20.60826111,19.158657074999994
Ireland,2008,17.36910248000001,18.66700745,18.018054965000005
Ireland,2009,15.195339209999993,19.202980049999994,17.199159629999997
Ireland,2010,14.284038539999997,18.46014786,16.372093199999995
Ireland,2011,14.223804469999997,16.58784865999999,15.405826564999998
Ireland,2012,14.163906099999998,16.42653275,15.295219424999999
Ireland,2013,13.454849240000001,17.615821840000002,15.535335539999991
Ireland,2014,13.68780899,17.63862990999999,15.66321945
Ireland,2015,13.589324949999998,18.46753693,16.028430940000007
Ireland,2016,12.430816649999997,18.503448489999997,15.467132570000004
Ireland,2017,11.238594059999997,15.39563751,13.317115784999999
Ireland,2018,10.700004579999998,14.799995420000002,12.75
Ireland,2019,10.803550720000004,14.887786860000006,12.845668790000019
Ireland,2020,10.616210940000002,15.856735220000004,13.236473079999996
Ireland,2021,8.506439209999996,12.465515139999994,10.485977174999988
Ireland,2022,9.293601989999999,12.460273739999991,10.876937864999988
Ireland,2023,7.7024002100000075,12.209922790000007,9.956161500000007
Ireland,2024,7.632644650000003,9.603302,8.617973324999994
Israel,2012,9.95360565,6.5315322800000075,8.242568965000004
Israel,2013,9.700691219999996,6.68764496,8.194168089999991
Israel,2014,8.966369629999988,5.017852790000006,6.9921112100000045
Israel,2015,9.301094059999997,4.240577700000003,6.770835879999993
Israel,2016,8.393569940000006,3.7372741700000063,6.065422055000013
Israel,2017,8.07607268999999,4.6740646299999895,6.375068659999997
Israel,2018,6.299995420000002,4.400001529999997,5.349998475000007
Israel,2019,5.8521499600000055,3.5635299700000047,4.707839965000005
Israel,2020,5.17147064000001,3.7471237200000047,4.459297180000021
Israel,2021,5.159996030000002,3.680000300000003,4.4199981649999955
Italy,2000,27.487712860000002,37.05861664,32.27316475000001
Italy,2001,26.489856720000006,36.926853179999995,31.708354949999993
Italy,2002,26.092006680000004,32.984027860000005,29.53801727000001
Italy,2003,25.860000609999993,34.912506109999995,30.386253359999998
Italy,2004,24.547050469999995,29.486061100000008,27.016555785
Italy,2005,23.856628420000007,30.090148930000005,26.973388674999995
Italy,2006,23.40524292,29.900646209999998,26.652944565000006
Italy,2007,23.339813229999997,29.406360629999995,26.373086929999985
Italy,2008,22.409378049999994,27.971733089999994,25.190555569999994
Italy,2009,22.151977530000003,27.619205480000005,24.885591504999994
Italy,2010,21.695377349999994,27.462043760000007,24.578710555
Italy,2011,21.174327850000005,26.13132858,23.652828215
Italy,2012,20.074966439999997,23.37561035000001,21.725288394999993
Italy,2013,19.597190849999997,21.676857,20.637023924999994
Italy,2014,19.070316309999995,21.26190948,20.166112894999998
Italy,2015,19.71392823,22.862861630000005,21.288394930000003
Italy,2016,19.067146310000005,23.96542358,21.516284945000002
Italy,2017,18.509937290000003,23.815166479999995,21.162551885
Italy,2018,18.300003059999995,24.200004579999998,21.25000381999999
Italy,2019,17.60208893,25.21253204,21.407310484999996
Italy,2020,17.510890960000005,27.92293548,22.716913220000002
Italy,2021,17.006748200000004,26.59489059,21.800819395000005
Italy,2022,16.883861550000006,26.89559174,21.889726645000003
Italy,2023,16.743495940000003,26.55383682,21.64866638000001
Italy,2024,16.556968689999998,27.546115879999995,22.05154228499999
Korea,2021,17.56227112,28.262096400000004,22.912183760000005
Korea,2022,16.56951141999999,27.197010040000002,21.88326072999999
Korea,2023,15.253539939999996,26.433720449999996,20.843630194999996
Korea,2024,14.376385189999993,26.687131049999998,20.531758119999992
Latvia,2017,4.6904067900000115,12.409599299999996,8.550003045000011
Latvia,2018,4.700004579999998,11.599998479999996,8.150001529999997
Latvia,2019,4.458564750000008,8.020759580000004,6.239662164999999
Latvia,2020,4.600631710000002,10.291198730000005,7.445915220000018
Latvia,2021,5.046829219999992,13.231849670000003,9.139339445000005
Latvia,2022,3.930351250000001,12.780319210000002,8.355335230000009
Latvia,2023,4.133285519999987,9.01456451,6.573925015
Latvia,2024,3.399276730000011,13.71389769999999,8.556587214999993
Lithuania,2017,5.317699429999998,10.050918580000001,7.684309005000003
Lithuania,2018,2.9000015200000036,6.0,4.450000759999995
Lithuania,2019,2.19010926,4.430511469999999,3.3103103649999923
Lithuania,2020,2.5999984799999964,7.400001529999997,5.000000005000004
Lithuania,2021,1.7126693700000004,7.1530609200000015,4.432865144999994
Lithuania,2022,0.9820709199999982,5.496482850000007,3.2392768850000095
Lithuania,2023,1.8090057400000035,7.184158329999988,4.496582034999989
Lithuania,2024,2.2839431700000006,10.486663820000004,6.385303495000002
Luxembourg,2000,26.19787979,22.908699030000008,24.553289410000012
Luxembourg,2001,23.238647459999996,25.105579380000002,24.172113420000002
Luxembourg,2002,24.13039398,22.830959319999998,23.480676650000007
Luxembourg,2003,21.013362879999995,23.689178469999995,22.351270674999995
Luxembourg,2004,19.874881740000006,19.717933659999993,19.796407700000003
Luxembourg,2005,18.07737351,20.54072189,19.309047699999994
Luxembourg,2006,15.880893709999995,18.839324950000005,17.360109330000007
Luxembourg,2007,15.71493147999999,16.612960819999998,16.163946149999987
Luxembourg,2008,16.708026890000006,14.87589263999999,15.791959765000001
Luxembourg,2009,14.537868500000002,17.655372619999994,16.09662055999999
Luxembourg,2010,15.153369899999994,16.834220889999997,15.993795394999992
Luxembourg,2011,12.683296200000008,15.394157410000005,14.038726804999996
Luxembourg,2012,11.699325559999998,14.944564819999997,13.321945189999994
Luxembourg,2013,11.012454990000002,15.487228390000013,13.24984169000001
Luxembourg,2014,11.456073759999995,14.685356139999996,13.070714949999996
Luxembourg,2015,8.692974090000007,11.74985504,10.221414565000003
Luxembourg,2016,8.663627619999993,11.752548220000008,10.208087919999997
Luxembourg,2017,5.317699429999998,10.050918580000001,7.684309005000003
Luxembourg,2018,6.700000760000002,7.899993899999998,7.299997330000011
Luxembourg,2019,7.874504090000002,10.160774230000001,9.017639160000002
Luxembourg,2020,3.7999992300000045,9.0,6.399999615000013
Luxembourg,2021,4.879341119999992,8.363067619999995,6.621204369999987
Luxembourg,2022,5.0780715900000075,6.844688409999989,5.9613800000000055
Luxembourg,2023,5.131782539999989,8.592910769999989,6.862346654999996
Luxembourg,2024,2.4862747199999973,7.73065948,5.108467099999999
Mexico,2005,40.09023666,33.68021393,36.885225295
Mexico,2006,39.23573304000001,35.884456629999995,37.560094834999994
Mexico,2007,38.180446620000005,40.397289279999995,39.28886795000001
Mexico,2008,37.92026138000001,40.31344223,39.11685180500001
Mexico,2009,36.619026180000006,35.39826584,36.00864601000001
Mexico,2010,36.464099880000006,38.28664779999999,37.375373839999995
Mexico,2011,36.258941660000005,29.218646999999997,32.738794330000005
Mexico,2012,35.518024450000006,24.290027619999996,29.904026034999994
Mexico,2013,35.06033707,31.40995408,33.23514557499999
Mexico,2014,35.65742874,30.475406640000003,33.06641769000001
Mexico,2015,35.13447952,31.55186844,33.34317398
Mexico,2016,34.87826919,32.135917660000004,33.507093424999994
Mexico,2017,35.14545822,28.08431626000001,31.614887240000016
Mexico,2018,34.50000381,31.39999771,32.95000076
Mexico,2019,33.05709457,27.774188990000006,30.41564178
Mexico,2020,31.67690659,18.91337204,25.295139315
Mexico,2021,32.50000381,26.799999230000005,29.650001519999996
Mexico,2023,30.540294259999996,23.204769549999995,26.872531904999995
Mexico,2024,30.26023046000001,25.61018938000001,27.935209920000005
Netherlands,2000,17.83969116,20.80187988000001,19.32078552
Netherlands,2001,17.26751709,17.10399246,17.185754774999992
Netherlands,2002,16.31394958,20.07571411,18.194831844999996
Netherlands,2003,15.229454039999993,18.604949950000005,16.917201995
Netherlands,2004,13.795906070000001,20.068424219999997,16.932165145
Netherlands,2005,12.769538879999999,19.017868040000003,15.893703459999998
Netherlands,2006,12.631622319999991,19.111843109999995,15.871732714999993
Netherlands,2007,11.555549619999994,17.509532929999992,14.532541275
Netherlands,2008,11.226547240000002,18.627353670000005,14.926950454999997
Netherlands,2009,10.11493682999999,18.01135636,14.063146594999992
Netherlands,2010,10.263854980000005,15.365432739999996,12.814643860000004
Netherlands,2011,9.567962649999998,15.24629212,12.40712738500001
Netherlands,2012,8.908889770000002,15.711872099999994,12.310380935000012
Netherlands,2013,8.719383239999999,16.00600815,12.362695695
Netherlands,2014,9.162460330000002,16.748550419999994,12.955505375000001
Netherlands,2015,8.433120729999999,18.25392533,13.34352303
Netherlands,2016,8.382972719999998,14.730289460000009,11.55663109000001
Netherlands,2017,7.7253570499999995,14.896022799999997,11.310689924999991
Netherlands,2018,7.5,15.80000305,11.650001524999993
Netherlands,2019,7.402870180000008,13.585395820000002,10.494133000000005
Netherlands,2020,6.152191160000001,11.539726260000009,8.84595871000002
Netherlands,2021,5.393218989999994,13.207092279999998,9.30015563500001
Netherlands,2022,5.878814699999992,12.477851869999995,9.178333284999994
Netherlands,2023,6.002906800000005,10.690856939999989,8.346881870000004
Netherlands,2024,5.602516170000001,11.207260129999995,8.40488814999999
New Zealand,2001,14.555557249999993,17.205089570000005,15.880323409999988
New Zealand,2002,14.398994439999996,17.12836837999999,15.763681410000004
New Zealand,2003,13.509468080000005,15.132270809999994,14.320869445
New Zealand,2004,13.532424919999997,17.64094162,15.586683269999995
New Zealand,2005,13.055564880000006,17.093212129999998,15.074388505000002
