country,year,wage_gap,education_gap,employment_gap,native_gap,immigrant_gap,overall_gap,gdp_pc,part_time_gap
Iceland,2011,,-11.252730999999995,7.347244000000003,5.652885439999992,4.373291010000003,5.013088225000004,127.215756,-38.798
Iceland,2012,,-11.487879000000005,6.647812000000002,4.236755370000012,6.138504019999999,5.1876296950000125,126.904123,-33.43600000000001
Iceland,2013,,-12.144728999999998,8.513886,4.815605160000004,6.6413497899999925,5.728477475000005,128.68603,-36.792
Iceland,2014,18.58401252,-11.969593000000003,8.450935000000001,5.51791381000001,4.134361269999999,4.826137540000005,127.673821,-34.554
Iceland,2015,,-14.269748999999996,8.856787999999995,4.418601989999999,9.724639889999992,7.0716209400000025,128.672498,-33.244
Iceland,2016,,-15.187372,8.324530999999993,5.963844300000005,5.97531128,5.969577790000002,133.021737,-31.180000000000007
Iceland,2017,,-15.020198999999998,7.25766800000001,5.844696040000002,2.5514602699999926,4.19807815499999,131.570538,-33.17400000000001
Iceland,2018,15.99547176,-16.99416,8.01231399999999,5.099998470000003,9.600006100000002,7.350002284999988,132.001522,-33.504
Iceland,2019,,-15.633442000000002,7.767799000000011,4.9000091500000025,8.02516937,6.4625892600000014,129.78554,-35.175999999999995
Iceland,2020,,-13.286933999999995,7.183502000000004,6.0,1.6999969400000057,3.8499984700000014,125.134543,-33.34
Iceland,2021,,-16.385082999999995,8.070876999999996,5.18509675,7.407104490000009,6.296100620000004,122.442616,-36.26599999999999
Iceland,2022,,-21.340919490000005,6.466468810000009,4.739402769999998,5.767585760000003,5.2534942650000005,126.914642,-32.464
Iceland,2023,,-20.79590606,7.346343999999988,5.209892280000005,8.304862979999996,6.757377630000008,128.821716,-32.578
Ireland,2010,18.29269585,-6.377605000000003,10.678314,14.284038539999996,18.46014786,16.372093199999995,132.26481,-55.398
Ireland,2011,,-6.539321999999999,10.289344000000009,14.223804469999996,16.58784865999999,15.405826564999998,131.887927,-53.580000000000005
Ireland,2012,,-6.884991000000007,10.530034,14.163906099999998,16.42653275,15.295219425,129.810682,-51.322
Ireland,2013,,-7.595775000000003,11.992835999999995,13.45484924,17.615821840000002,15.535335539999991,130.569963,-47.93000000000001
Ireland,2014,15.92283381,-7.328701000000002,13.001407999999998,13.68780899,17.63862990999999,15.66321945,139.635822,-47.09
Ireland,2015,,-7.639686999999995,13.596224999999995,13.589324949999998,18.46753693,16.028430940000007,169.06777,-48.818000000000005
Ireland,2016,,-9.259968,12.922294000000008,12.430816649999995,18.50344849,15.467132570000004,167.010011,-47.744
Ireland,2017,,-6.749180000000003,13.396361999999996,11.238594059999995,15.39563751,13.317115785,177.468774,-51.036
Ireland,2018,15.41674986,-7.545906000000002,13.505095999999996,10.700004579999998,14.799995420000002,12.75,185.155465,-49.85
Ireland,2019,,-7.449840000000002,13.653374,10.803550720000004,14.887786860000006,12.84566879000002,189.246145,-52.476
Ireland,2020,,-7.083798000000002,13.620559,10.616210940000002,15.856735220000004,13.236473079999996,209.234804,-54.062000000000005
Ireland,2021,,-8.197330999999998,11.079589999999996,8.506439209999996,12.465515139999994,10.485977174999988,227.13639,-53.04599999999999
Ireland,2022,15.90389568,-7.638271331787109,12.41461944580078,9.29360199,12.460273739999993,10.876937864999988,233.126575,-54.01599999999999
Ireland,2023,16.80041843,-7.377140045166023,10.912841796875,7.702400210000007,12.209922790000007,9.956161500000007,220.745034,-52.11600000000001
Israel,2010,25.48797382,-7.759190000000004,11.031097000000004,,,,82.456788,-49.708
Israel,2011,24.89500479,-6.40504,11.18070999999999,,,,84.018078,-48.718
Israel,2012,24.32988529,-8.858052,11.031006000000003,9.95360565,6.531532280000008,8.242568965000004,83.732599,-39.356
